Internal ID (specific to validation data),isolates,Source,Lab,Country,INH,RIF,EMB,STR,CIP,CYS,CAP,ETA,KAN,OFLX,PAS,PZA,AMK,MOXI,PRO,CLO,RBU,LEVO
4001,1478813216721T177115lib4769nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4002,1478813216721T177215lib4770nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4003,1478813216721T177315lib4771nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4004,1478813216721T177415lib4772nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4005,1478813216721T177515lib4773nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4006,1478813216721T177615lib4774nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4007,1478813216721T177715lib4775nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4008,1478813216721T177815lib4776nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4009,1478813216721T177915lib4984nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4010,1478813216721T178815lib4993nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4011,1478813216721T178915lib4994nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4012,1478813216721T179015lib4995nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4013,1478813216721T179115lib4996nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4014,1478813216721T179215lib4997nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4015,1478813216721T179315lib4998nextseqn0035151bp,ReseqTB,Borstel,Germany,R,I,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4016,1478813216721T179415lib4999nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4017,1478813216721T179515lib5000nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4018,1478813216721T179615lib5001nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4019,1478813216721T179715lib5002nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4020,1478813216721T179815lib5003nextseqn0036151bp,ReseqTB,Borstel,Germany,R,S,S,NULL,NULL,NULL,S,R,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4021,1478813216721T179915lib5004nextseqn0035151bp,ReseqTB,Borstel,Germany,R,S,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4022,1478821006466T180815lib5013nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4023,1478821006466T180915lib5014nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4024,1478821006466T181015lib5015nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4025,1478821006466T181115lib5016nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4026,1478821006466T181215lib5017nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4027,1478821006466T181315lib5018nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4028,1478821006466T181415lib5019nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4029,1479144119992T178115lib4986nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4030,1479144119992T178215lib4987nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4031,1479144119992T178315lib4988nextseqn0035151bp,ReseqTB,Borstel,Germany,R,S,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4032,1479144119992T178415lib4989nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,R,NULL,R,S,R,NULL,NULL,NULL,S
4033,1479144119992T178515lib4990nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,R,NULL,R,S,S,NULL,NULL,NULL,S
4034,1479144119992T178615lib4991nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4035,1479144813357T180115lib5006nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,R,S,NULL,R,R,S,NULL,NULL,NULL,S
4036,1479144813357T180215lib5007nextseqn0035151bp,ReseqTB,Borstel,Germany,S,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4037,1479144813357T180315lib5008nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4038,1479144813357T180415lib5009nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4039,1479144813357T180515lib5010nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4040,1479144813357T180615lib5011nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4041,1479144813357T181615lib5021nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4042,1479144813357T181715lib5022nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4043,1479144813357T181815lib5023nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,R,NULL,R,S,R,NULL,NULL,NULL,R
4044,1479144813357T181915lib5024nextseqn0036151bp,ReseqTB,Borstel,Germany,S,R,S,NULL,NULL,NULL,S,R,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4045,1479144813357T182015lib5025nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4046,1479146369267T182115lib5026nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4047,1479146369267T182215lib5027nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4048,1479146369267T182315lib5028nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4049,1479146369267T182415lib5029nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,R,NULL,R,S,S,NULL,NULL,NULL,S
4050,1479146369267T182515lib5030nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4051,1479146369267T182615lib5031nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4052,1479146369267T182715lib5032nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4053,1479146369267T182815lib5033nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4054,1479146369267T182915lib5034nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4055,1479146369267T183015lib5035nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,I,S,NULL,S,S,S,NULL,NULL,NULL,S
4056,1479146369267T183115lib5036nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4057,1479146369267T183215lib5037nextseqn0035151bp,ReseqTB,Borstel,Germany,R,S,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4058,1479146369267T183315lib5038nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4059,1479146369267T183415lib5039nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4060,1479146369267T183515lib5040nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4061,1479146369267T183615lib5041nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4062,1479146369267T183715lib5042nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4063,1479146369267T183815lib5043nextseqn0035151bp,ReseqTB,Borstel,Germany,R,S,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4064,1479146369267T183915lib5044nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4065,1479146369267T184015lib5045nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4066,1479146369267T184115lib5046nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4067,1479146369267T184215lib5047nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4068,1479146369267T184315lib5048nextseqn0036151bp,ReseqTB,Borstel,Germany,S,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4069,1479146369267T184415lib5049nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4070,1479146369267T184515lib5050nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4071,1479146369267T184615lib5051nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4072,1479146369267T184715lib5052nextseqn0035151bp,ReseqTB,Borstel,Germany,R,S,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4073,1479146369267T184815lib5053nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4074,1479146369267T184915lib5054nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4075,1479146369267T185015lib5055nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4076,1479146369267T185115lib5056nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4077,1479146369267T185215lib5057nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4078,1479146369267T185315lib5058nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4079,1479146369267T185415lib5059nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4080,1479146369267T185515lib5060nextseqn0035151bp,ReseqTB,Borstel,Germany,R,S,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4081,1479146369267T185615lib5061nextseqn0035151bp,ReseqTB,Borstel,Germany,S,S,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4082,1479146369267T185715lib5063nextseqn0036151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4083,1479146369267T185815lib5062nextseqn0035151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4084,1479146369267T888215lib5603nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4085,1479146369267T888315lib5604nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4086,1479146369267T888415lib5605nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4087,1479146369267T888515lib5606nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,R,R,S,NULL,R,R,S,NULL,NULL,NULL,S
4088,1479146369267T888615lib5607nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4089,1479146369267T888715lib5608nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,R,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4090,1479146369267T888815lib5609nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4091,1479146369267T888915lib5610nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,R,S,R,NULL,S,S,R,NULL,NULL,NULL,R
4092,1479146369267T889015lib5611nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4093,1479146369267T889115lib5612nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4094,1479146369267T889215lib5613nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,R,R,NULL,S,S,S,NULL,NULL,NULL,S
4095,1479146369267T889315lib5614nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,R,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4096,1479149361993T889415lib5615nextseqn0048151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4097,1479149361993T893015lib5699nextseqn0050151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4098,1479149361993T893215lib5701nextseqn0050151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4099,1479149361993T893315lib5702nextseqn0050151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4100,1479149361993T893415lib5703nextseqn0050151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,R,S,NULL,NULL,R,S,NULL,NULL,NULL,S
4101,1479149361993T893515lib5704nextseqn0050151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4102,1479149361993T893615lib5719nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4103,1479149361993T893715lib5720nextseqn0051151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4104,1479149361993T893815lib5721nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,R,NULL,NULL,S,R,NULL,NULL,NULL,S
4105,1479149361993T893915lib5722nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,R,R,NULL,NULL,S,R,NULL,NULL,NULL,R
4106,1479149361993T894015lib5723nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4107,1479149361993T894115lib5724nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4108,1479149361993T894215lib5725nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4109,1479149361993T894315lib5726nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4110,1479149361993T894415lib5727nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4111,1479149361993T894515lib5728nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,R,S,NULL,NULL,R,S,NULL,NULL,NULL,S
4112,1479149361993T894615lib5729nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4113,1479149361993T894715lib5730nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4114,1479149361993T894815lib5731nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,R,NULL,R,R,NULL,NULL,R,R,NULL,NULL,NULL,R
4115,1479149361993T895015lib5732nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,R,NULL,R,R,NULL,NULL,S,R,NULL,NULL,NULL,I
